	Expression1	Expression2
STRN3	-0.80222225	1.09285
TFAP4	0.0047016293	1.06745
AK5	1.2245059	3.5348501
FADS1	1.0287184	-2.61345
HINT1	0.71886265	1.2093
NMNAT2	1.2109748	1.3578999
TUBB2B	1.5077372	3.97615
CD2	1.569759	3.92915
DECR1	2.44942	5.76165
FOXF1	0.5508384	3.7469
CCT7	0.54516685	-2.27585
DDAH2	2.4644768	4.45875
BAK1	0.12557311	3.15935
CD33	0.7735234	1.63975
RBMS3	0.54321706	2.82675
TXNDC15	2.2250814	2.9781
UBA5	1.0788094	4.46705
SDS	1.4924635	5.30105
ILF3	0.0031260252	1.65535
SH3BP4	-0.97625434	-1.14605
RPL38	-0.35962567	-1.1228
LCK	0.6604277	2.90055
RAPGEF2	-0.98296005	-1.6883
RGCC	1.727756	5.1006002
MED7	0.41037652	-0.70745003
RREB1	-2.673572	-3.6284
NFIL3	-4.6807475	-5.01095
INSR	1.1408767	1.2231
APAF1	1.005232	4.37575
ARHGEF6	0.097543955	-0.26770002
ARHGEF26	0.5778767	1.9858
FLT3LG	0.8914555	3.44835
FLRT1	-0.57293046	2.8259501
SRPRB	-0.053529426	-2.4731
MSRB1	0.170754	0.45655
EPHX2	2.4243453	4.1225004
TBX1	1.3786777	3.8650002
RFXANK	1.1063365	1.22265
DDT	0.6147903	0.66675
PRPF6	0.7576798	-1.03615
KLRG1	0.32488927	3.7357001
MOSPD2	1.6842147	3.14645
TNFAIP3	-3.3180628	-0.42435
SCCPDH	1.5284424	-1.69675
CCR2	0.30047607	2.0623
AURKB	-3.4173155	-4.1145
EXTL1	0.9057753	3.4678
SNCAIP	0.26337624	1.1455
CSNK1E	-1.3141662	-0.5495
GOSR2	0.70621806	2.9694998
GRM5	0.59526646	4.29705
KLHL20	-0.27458096	1.1886
GPR176	0.9357796	5.08815
VAMP8	0.1046269	2.27425
HECTD4	-0.070358165	-1.2674
SIRT7	-2.4180744	-1.3316001
CTNS	0.6401728	1.6183
PASK	0.55994266	-0.119200006
PSMD3	-1.2611468	-4.05435
MPST	1.704235	-0.08625001
PML	0.69761145	-0.24704999
SRSF6	-0.033167675	-2.46015
NSF	-0.22152707	-1.10535
SNX3	0.96229535	1.2884
B2M	-0.11839478	-1.0177
CLEC3B	1.1717432	2.7796001
CYBA	0.7956459	0.9841
HSPA9	1.7601066	1.7865001
PROCR	0.3621068	-1.2434
RAB11A	0.5942414	0.027449995
GPR137B	-0.7217757	0.40725
GPX4	-0.4457466	0.06465
TOB1	-2.2859316	-4.1894
SLC6A8	0.5194155	3.1728501
ETAA1	1.0526413	3.1589499
DSC1	1.16925	3.1775498
SH2B2	-0.601205	0.6945
ANXA2	-0.27849036	-1.0207
PAQR3	0.94210154	0.81390005
BTK	1.4385207	2.89085
NBEAL2	1.1708591	1.67805
CUBN	1.3316704	3.6698499
RNF5	2.5389988	4.5987997
DYNC1LI1	-1.0222589	-3.6175
KDSR	-0.042809986	-0.7545
TMX1	-0.37734964	-3.12255
BCL6	-0.12357247	-0.2916
SH3GLB1	-0.3292427	2.0974498
RSAD2	1.3148543	7.11545
ABCC5	1.7235924	0.045550004
OASL	-0.09430919	0.45635
HSD17B11	-0.03770767	0.081
B3GNT2	-1.2389113	-0.15065
SDCBP	-0.7029713	-0.50745
MAST2	0.60160834	-1.7881
UFL1	1.4975973	2.22055
MRPL11	0.8606564	1.35575
F2RL1	-0.9986321	-2.7388
MADCAM1	0.9442786	4.32485
CACNA1H	1.1899545	4.56255
CDK1	-0.5443861	-5.91935
CAMK1D	2.3989553	5.0938997
TOM1L1	1.4370103	2.03955
ATP2A3	2.1048844	3.3314
HUWE1	1.9765029	0.6939
TIPIN	-1.4425719	-6.0319
SLC37A4	1.1331824	1.2147
DNAJB2	0.009675339	-1.11275
TNFRSF12A	-0.70440733	0.849
INSIG2	-0.104640156	0.5522
EIF2AK2	0.58308667	1.8833001
TRIM32	-2.3966238	-5.4976997
RASSF2	0.6676597	1.6808
PKIG	-0.28338116	2.09345
RBX1	2.8462577	5.3632
ETFB	0.2088166	-1.08375
DIP2A	0.55748725	4.0404997
MSH6	0.26025653	-4.3491
JAK3	1.7684398	3.69155
CDA	0.48854646	-0.2454
ARL6IP1	-1.5372744	-4.1171002
TEX264	0.26573792	-2.0787
CAMTA2	-0.032702148	2.3484
NMB	0.3425703	-1.79425
CSF2RB	0.85014725	5.31345
TAOK2	0.91877306	2.3164499
CIB2	1.7512571	4.90445
LRP6	0.44939673	3.11735
HSD17B10	2.1964962	0.70265
MAP1A	2.4354048	3.8369
SLC11A1	1.8143653	5.04645
DNAJB6	1.1703635	5.02975
ZNF451	-1.9737089	-3.5099502
CD320	1.3239292	2.4559
CYP46A1	1.0287746	3.60995
GTF2F1	1.5078052	-1.6517
ATP6V0A2	-0.7501352	-2.6001
TRIB3	-1.7395477	-1.8262
ATAD2	-2.1386843	-2.8783998
PRKCH	1.0558127	1.36985
AMT	2.450283	5.95055
PPARA	1.3873895	4.38
CXCL3	-1.7045197	0.2346
SLC8B1	0.68910563	2.8882
GLB1	0.52156585	-0.24809998
SS18L1	-2.7864387	-2.6598
TNIP2	-0.70900536	0.5114
MED17	-4.2078767	-2.43965
SLIT2	0.23620622	0.25465
APOC1	0.61521566	3.7517
CCL22	0.4344933	0.6409
PRKCG	0.952073	4.19525
HTRA2	0.098905504	0.49035
PYGB	-0.6647005	-2.81215
CHST12	0.22606046	2.8279
ACADS	2.0271177	3.0190501
COX6B1	0.64087296	0.08909999
YAP1	-1.0864536	1.15455
CFAP20	-1.1925144	-1.2297
KERA	1.6664442	4.0401
DCPS	-0.066920556	-2.7838001
CDK10	0.97313535	0.7421
RPS6KB2	2.5957193	1.10145
IL21R	-0.34872082	0.5632
HLA-DPB1	1.8812231	3.9661
FGR	1.373483	3.2021
JUN	0.06002167	1.78335
GTF2H1	1.1921151	0.94974995
DEK	-0.5673513	-0.20484999
LILRB4	1.513519	3.6848502
ALDH8A1	-0.5363343	0.97665
RAB5B	1.0164237	1.55405
NRBP1	0.59258676	1.27315
COTL1	-0.53913355	-3.2266
RIPK1	0.6681676	5.3114004
PTPRC	2.347483	7.0379
NOC2L	0.58193934	1.6082
CKMT2	1.0983189	3.2978501
CD63	-0.19452609	1.5173
SHC1	1.3856742	3.6153
WWP2	0.5887807	-0.27170002
PHF10	0.23684675	0.7231
PPP1R12A	-2.8594239	-5.9747
FBLN1	0.47776508	2.8912
CTNNBL1	-0.14500593	-2.1356
PPIF	-2.0620363	-3.04385
ISCU	-0.56988966	-1.7251
BRD8	0.64147925	-3.8992
CRISPLD2	-1.0122066	-1.35885
AOX1	0.27298766	1.7128
DNASE1	2.833201	3.1035
ACAA2	2.130345	2.8903499
ENPEP	0.77413285	4.0303
ANKZF1	0.33646858	0.75804996
CCDC47	0.21261479	-0.95465004
USP15	-0.660677	0.9977
SPAG9	-1.4913636	-1.52635
ERC1	2.6607578	6.22025
PLXND1	1.2331885	2.2984
OSBPL1A	0.90245354	-0.41345
PIK3R3	2.8477292	-0.28795004
BCAS3	2.4337814	-0.42470002
CNOT1	-1.754086	-3.3267498
MAP1LC3B	1.0022733	2.6732001
CFP	0.16678892	-0.08309996
CYP1B1	-1.2046142	-2.43505
PDS5B	-0.31196132	1.8998499
KCNQ1	0.9708565	2.5199
GSS	1.1530741	-2.84005
TESC	-1.6564443	-2.546
BEX4	1.4485217	3.8158998
MTMR3	-0.29231155	-1.1312
NFE2L2	-0.48697984	4.2353
BHLHB9	0.5061047	2.9794002
HOXB3	1.3107781	4.61155
IER5	-3.4775038	-1.7402501
HRC	0.3956675	1.4907
LILRA2	0.7939512	-0.65865004
GOLGA2	1.0699338	0.9491
OPA1	0.33218327	0.019749999
MYO1C	0.39684153	0.53295
PLEKHF1	-1.2164319	0.0021499991
SNAI2	-0.74958026	1.691
POLR2B	-1.186546	-2.9266
GCK	1.4268634	6.2225504
PTEN	-1.6522484	-3.04775
NRP2	1.5044416	3.74465
PPM1A	-1.5099618	-2.4909
VAV3	4.7923756	7.62855
RARA	-1.1679537	-1.9900501
FKTN	1.6600238	1.91055
SPI1	1.3377372	3.87605
NOD1	0.5917545	3.8163
RXRG	1.0206329	1.7651501
PPP4R2	0.96638966	3.6158
PKP1	-1.2050892	-1.5555501
ITIH3	1.8316813	3.92325
RNF34	-1.048764	-2.0421
HOXA11	-0.98276263	-5.0625496
MRPL18	-1.0896075	-4.08705
KRIT1	-0.019905463	1.35535
E4F1	-0.86888295	1.20595
DLD	0.33618438	2.0878
MADD	-1.4391274	-1.0526
UBE2N	-0.20450114	1.37125
MCCC2	1.4837687	5.40345
GAS1	-0.5873381	1.0922999
MMRN1	0.45643866	1.4405501
RIOK3	1.642988	3.7401
TFDP1	3.198499	3.91205
PARP16	-0.15704447	2.9376001
RSL1D1	0.005511027	-1.7024
MTHFD2	-0.5370607	-1.74455
BRINP1	-0.27489877	1.8812499
LCN2	-0.15176216	0.81009996
RHOH	0.008411139	2.17825
NHLH1	0.6760698	4.98075
HSD17B6	1.4251051	4.5967
PLXNA3	1.513292	4.4651003
DEAF1	-0.007207334	-2.4348001
CARTPT	0.93494374	5.08615
CLASP2	-1.3175448	-0.25465
PSMB1	0.71765476	-2.7143998
TBX2	0.7775294	5.8861
TMCO1	0.34073585	-0.18570003
TIMP1	-1.5757773	-1.8977
CBLL1	-2.140478	-2.0561
B4GALT3	-1.4792566	0.90095
MYRF	0.04451129	2.26225
MACF1	0.488189	-1.3807001
AP1AR	-0.2528695	1.0005
CYP2C18	1.8164681	1.93655
PDIA3	0.27074084	1.3954
RRBP1	0.38790804	-0.8385501
ASH2L	0.55982816	-0.72429997
LAMTOR3	-0.33482295	-0.72760004
CLN8	1.1451367	5.7189503
CSPP1	0.15334375	3.78285
MINK1	0.008101612	0.44474998
NCOR2	-0.7349354	-5.5952997
PICALM	1.1673896	-0.32825
RPS17	0.52361226	2.76455
RNASEL	1.3290678	3.5838501
IL3RA	1.362547	5.5176
TPP1	1.7529634	1.38625
OAZ1	0.914474	2.2862499
IL10RA	1.5312974	5.0975504
FGF5	2.4801505	6.30685
NFASC	0.5667998	3.67525
MUC1	2.2438717	5.02735
ATP6V0E1	1.0095177	1.9068
MAPT	0.15979998	0.3962
UBE2G1	-0.12580855	0.3374
FAM162A	1.0975432	1.58275
PRKD2	-0.9089894	-0.6084
NECAB2	0.77186817	5.2836
HIVEP1	-0.4898293	2.5463
MTHFS	0.111089244	-0.62385
SNRPA1	0.167818	-2.95045
PTPN2	0.29125547	-1.4526
CTC1	1.2913828	2.30625
TMEM176B	0.52237415	1.8499
RBM22	-0.83704877	-2.5566502
SERPINB6	0.36318108	-3.56175
HSPG2	1.5597382	1.2473
PAPPA	1.0486746	-1.4314001
TUBB4B	-1.8321269	-5.3233
ENDOD1	0.7383045	0.08384997
XPC	0.6229002	-0.80795
UBL5	1.4333551	3.77925
IKBKB	2.5775032	4.7284
STYK1	0.50466835	2.1016002
WDR45	3.2733746	3.41755
SQSTM1	-1.645869	-7.3518
MARK4	-0.093718946	0.3806
BTN3A2	-0.6867212	-0.7295
RALY	0.16487683	-1.7994
JAG1	-1.04336	-0.29470003
SLC27A6	2.5770833	5.4351997
SERPING1	1.3559403	3.7590501
SYT11	0.61553544	2.0383
CASP6	0.95342374	3.2361498
NDUFAB1	0.15642796	-0.76255
G0S2	-0.9094043	-0.33014998
INPP5K	1.3633878	2.58495
